trip_id,start_time,end_time,headway_secs
14M_14M_S_1_6_0.56111,08:58:30,14:46:30,360
14M_14M_S_1_11_0.59861,09:46:30,15:04:30,360
14M_14M_S_1_19_0.64097,14:52:00,15:23:30,270
14M_14M_S_1_28_0.68333,16:12:00,16:30:00,180
14M_14M_S_1_34_0.72639,17:11:30,17:56:30,225
14M_14M_S_1_3_0.76736,18:09:00,18:31:00,330
14M_14M_S_1_12_0.80833,19:18:00,19:57:00,390
14M_14M_S_1_16_0.84931,19:15:45,21:00:45,450
14M_14M_S_1_28_0.88819,19:57:00,21:19:30,450
14M_14M_S_1_32_0.92986,21:09:00,22:19:00,525
14M_14M_S_1_37_0.97292,22:52:15,23:21:30,585
14M_14M_S_1_22_0.64375,15:23:30,17:11:30,240
14M_14M_S_1_29_0.68542,16:12:00,16:30:00,180
14M_14M_S_1_37_0.72917,17:11:30,17:56:30,225
14M_14M_S_1_4_0.77153,18:09:00,18:31:00,330
14M_14M_S_1_42_0.28819,06:47:30,07:07:30,240
14M_14M_S_1_7_0.32708,07:45:45,08:21:30,165
14M_14M_S_1_30_0.24236,05:40:00,06:08:30,570
14M_14M_S_1_39_0.28542,06:47:30,07:07:30,240
14M_14M_S_1_8_0.32917,07:45:45,08:21:30,165
14M_14M_S_1_16_0.37083,08:27:30,09:21:30,270
14M_14M_S_1_24_0.41528,08:58:30,14:46:30,360
14M_14M_S_1_30_0.45278,09:46:30,15:04:30,360
14M_14M_S_1_37_0.49028,08:58:30,14:46:30,360
14M_14M_S_1_1_0.52778,09:46:30,15:04:30,360
14M_14M_S_1_8_0.56528,08:58:30,14:46:30,360
14M_14M_S_1_14_0.60278,09:46:30,15:04:30,360
14M_14M_S_1_23_0.64653,15:23:30,17:11:30,240
14M_14M_S_1_30_0.68750,16:12:00,16:30:00,180
14M_14M_S_1_9_0.33056,07:45:45,08:21:30,165
14M_14M_S_1_17_0.37431,08:27:30,09:21:30,270
14M_14M_S_1_37_0.24931,05:40:00,06:08:30,570
14M_14M_S_1_1_0.29097,06:47:30,07:07:30,240
14M_14M_S_1_10_0.33264,07:45:45,08:21:30,165
14M_14M_S_1_32_0.63125,15:04:30,15:19:30,300
14M_14M_S_1_41_0.67153,15:23:30,17:11:30,240
14M_14M_S_1_6_0.71250,17:03:00,17:10:00,210
14M_14M_S_1_13_0.75278,17:56:30,18:16:30,240
14M_14M_S_1_22_0.79306,18:36:45,19:15:45,390
14M_14M_S_1_28_0.83125,19:18:00,19:57:00,390
14M_14M_S_1_32_0.87014,19:15:45,21:00:45,450
14M_14M_S_1_37_0.91319,21:36:15,22:52:15,570
14M_14M_S_1_8_0.95556,22:28:00,23:06:00,570
14M_14M_S_1_13_1.00208,23:31:30,24:03:00,630
14M_14M_S_1_31_0.68889,16:30:00,17:03:00,165
14M_14M_S_1_40_0.73194,17:11:30,17:56:30,225
14M_14M_S_1_8_0.77500,18:31:00,18:36:45,345
14M_14M_S_1_13_0.81319,19:18:00,19:57:00,390
14M_14M_S_1_22_0.85417,19:15:45,21:00:45,450
14M_14M_S_1_29_0.89375,21:19:30,21:27:30,480
14M_14M_S_1_34_0.93611,22:19:00,22:28:00,540
14M_14M_S_1_3_0.97986,23:21:30,23:31:30,600
14M_14M_S_1_12_1.02431,24:22:15,24:35:00,765
14M_14M_S_1_2_0.29375,06:47:30,07:07:30,240
14M_14M_S_1_11_0.33472,07:45:45,08:21:30,165
14M_14M_S_1_19_0.37708,08:27:30,09:21:30,270
14M_14M_S_1_29_0.41944,08:58:30,14:46:30,360
14M_14M_S_1_35_0.45694,09:46:30,15:04:30,360
14M_14M_S_1_41_0.49444,08:58:30,14:46:30,360
14M_14M_S_1_6_0.53194,09:46:30,15:04:30,360
14M_14M_S_1_11_0.56944,08:58:30,14:46:30,360
14M_14M_S_1_16_0.60694,09:46:30,15:04:30,360
14M_14M_S_1_24_0.64931,15:23:30,17:11:30,240
14M_14M_S_1_32_0.69097,16:30:00,17:03:00,165
14M_14M_S_1_28_0.65208,15:23:30,17:11:30,240
14M_14M_S_1_33_0.69306,16:30:00,17:03:00,165
14M_14M_S_1_1_0.73403,17:11:30,17:56:30,225
14M_14M_S_1_34_0.69514,16:30:00,17:03:00,165
14M_14M_S_1_3_0.73681,17:11:30,17:56:30,225
14M_14M_S_1_12_0.77986,18:36:45,19:15:45,390
14M_14M_S_1_16_0.81736,19:18:00,19:57:00,390
14M_14M_S_1_28_0.85972,19:15:45,21:00:45,450
14M_14M_S_1_32_0.90000,21:27:30,21:36:15,525
14M_14M_S_1_37_0.94236,22:28:00,23:06:00,570
14M_14M_S_1_8_0.98750,23:31:30,24:03:00,630
14M_14M_S_1_14_0.33681,07:45:45,08:21:30,165
14M_14M_S_1_23_0.38056,08:27:30,09:21:30,270
14M_14M_S_1_30_0.42361,08:58:30,14:46:30,360
14M_14M_S_1_37_0.46111,09:46:30,15:04:30,360
14M_14M_S_1_1_0.49861,08:58:30,14:46:30,360
14M_14M_S_1_8_0.53611,09:46:30,15:04:30,360
14M_14M_S_1_14_0.57361,08:58:30,14:46:30,360
14M_14M_S_1_19_0.61111,09:46:30,15:04:30,360
14M_14M_S_1_29_0.65486,15:23:30,17:11:30,240
14M_14M_S_1_35_0.69653,16:30:00,17:03:00,165
14M_14M_S_1_39_0.25556,05:40:00,06:08:30,570
14M_14M_S_1_7_0.29653,06:47:30,07:07:30,240
14M_14M_S_1_15_0.33819,07:45:45,08:21:30,165
14M_14M_S_1_8_0.29861,07:07:30,07:43:30,180
14M_14M_S_1_16_0.34028,07:45:45,08:21:30,165
14M_14M_S_1_24_0.38333,08:27:30,09:21:30,270
14M_14M_S_1_35_0.42778,08:58:30,14:46:30,360
14M_14M_S_1_41_0.46528,09:46:30,15:04:30,360
14M_14M_S_1_6_0.50278,08:58:30,14:46:30,360
14M_14M_S_1_11_0.54028,09:46:30,15:04:30,360
14M_14M_S_1_16_0.57778,08:58:30,14:46:30,360
14M_14M_S_1_23_0.61528,09:46:30,15:04:30,360
14M_14M_S_1_30_0.65764,15:23:30,17:11:30,240
14M_14M_S_1_37_0.69861,16:30:00,17:03:00,165
14M_14M_S_1_4_0.73958,17:11:30,17:56:30,225
14M_14M_S_1_13_0.78403,18:36:45,19:15:45,390
14M_14M_S_1_22_0.82222,19:18:00,19:57:00,390
14M_14M_S_1_29_0.86458,19:15:45,21:00:45,450
14M_14M_S_1_34_0.90625,21:36:15,22:52:15,570
14M_14M_S_1_3_0.94931,22:28:00,23:06:00,570
14M_14M_S_1_12_0.99444,23:31:30,24:03:00,630
14M_14M_S_1_17_0.34236,07:45:45,08:21:30,165
14M_14M_S_1_26_0.38681,08:27:30,09:21:30,270
14M_14M_S_1_9_0.30069,07:07:30,07:43:30,180
14M_14M_S_1_18_0.34444,07:45:45,08:21:30,165
